City or town,Population,Unrestricted General Government Aid,Gross lottery sales,
GREAT BARRINGTON,"7,104","$641,908.00","$6,113,495.75",
DIGHTON        ,"7,086","$654,018.00","$2,236,901.25",
ROCKPORT       ,"6,952","$370,109.00","$2,224,203.75",
WEST BRIDGEWATER,"6,916","$553,110.00","$13,674,414.00",
DALTON         ,"6,756","$962,329.00","$4,463,196.50",
NEWBURY        ,"6,666","$438,043.00","$1,545,295.75",
STOW           ,"6,590","$356,070.00","$1,149,696.00",
GROVELAND      ,"6,459","$615,686.00","$3,431,429.50",
BERKLEY        ,"6,411","$514,636.00","$1,699,286.25",
LINCOLN        ,"6,362","$575,819.00","$87,266.00",
MERRIMAC       ,"6,338","$711,660.00","$2,826,499.00",
GRANBY         ,"6,240","$746,820.00","$3,381,216.75",
CHATHAM        ,"6,125","$127,294.00","$2,123,888.00",
TOPSFIELD      ,"6,085","$518,803.00","$958,049.75",
ASHBURNHAM     ,"6,081","$672,501.00","$2,313,621.00",
MATTAPOISETT   ,"6,045","$342,810.00","$2,418,449.75",
LEE            ,"5,943","$526,757.00","$5,002,211.75",
HOPEDALE       ,"5,911","$551,538.00","$1,571,725.00",
ORLEANS        ,"5,890","$145,288.00","$4,570,254.00",
ROWLEY         ,"5,856","$456,773.00","$4,182,465.00",
MENDON         ,"5,839","$345,651.00","$3,762,670.75",
SOUTHAMPTON    ,"5,792","$538,950.00","$3,985,614.50",
DOVER          ,"5,589","$162,705.00","$537,654.25",
BARRE          ,"5,398","$760,702.00","$3,035,446.25",
HADLEY         ,"5,250","$383,877.00","$5,721,847.75",
ROCHESTER      ,"5,232","$359,241.00","$1,807,923.00",
HAMPDEN        ,"5,139","$581,924.00","$3,353,872.00",
MANCHESTER     ,"5,136","$188,099.00","$1,013,124.25",
WARREN         ,"5,135","$765,257.00","$2,149,770.00",
DEERFIELD      ,"5,125","$406,247.00","$3,177,527.50",
LENOX          ,"5,025","$450,838.00","$2,423,871.75",
BOXBOROUGH     ,"4,996","$213,357.00","$1,148,367.50",
EASTHAM        ,"4,956","$126,013.00","$3,265,440.00",
MARION         ,"4,907","$190,849.00","$1,765,671.00",
BOLTON         ,"4,897","$166,996.00","$1,070,820.25",
WENHAM         ,"4,875","$362,308.00","$1,082,813.00",
PAXTON         ,"4,806","$457,701.00","$743,001.50",
NORTH BROOKFIELD,"4,680","$673,975.00","$2,969,052.50",
OAK BLUFFS     ,"4,527","$61,514.00","$4,066,046.50",
HUBBARDSTON    ,"4,382","$381,006.00","$1,267,387.00",
AVON           ,"4,356","$586,234.00","$6,200,563.00",
BOYLSTON       ,"4,355","$289,720.00","$1,809,553.50",
WEST NEWBURY   ,"4,235","$250,622.00","$434,471.75",
SHERBORN       ,"4,119","$183,212.00","$305,026.75",
EDGARTOWN      ,"4,067","$56,341.00","$3,894,157.25",
TISBURY        ,"3,949","$82,939.00","$4,069,813.25",
WEST BROOKFIELD,"3,701","$411,975.00","$2,801,109.75",
SUNDERLAND     ,"3,684","$427,516.00","$1,909,833.00",
BRIMFIELD      ,"3,609","$329,768.00","$1,321,228.75",
ESSEX          ,"3,504","$207,087.00","$1,922,866.75",
PRINCETON      ,"3,413","$250,431.00","$489,470.25",
NAHANT         ,"3,410","$319,586.00","$3,432,264.75",
BROOKFIELD     ,"3,390","$417,618.00","$1,955,855.75",
HATFIELD       ,"3,279","$263,917.00","$2,265,918.00",
SHEFFIELD      ,"3,257","$206,062.00","$784,939.00",
CHESHIRE       ,"3,235","$519,594.00","$1,701,046.25",
MILLVILLE      ,"3,190","$344,528.00","$1,756,432.50",
DUNSTABLE      ,"3,179","$208,034.00","$605,264.50",
LANESBOROUGH   ,"3,091","$291,766.00","$4,650,997.25",
ASHBY          ,"3,074","$370,356.00","$1,143,845.75",
NORTHFIELD     ,"3,032","$305,594.00","$1,414,628.50",
HARDWICK       ,"2,990","$393,766.00","$1,284,370.50",
PROVINCETOWN   ,"2,942","$116,995.00","$4,814,748.00",
BERLIN         ,"2,866","$170,528.00","$2,296,689.25",
PLYMPTON       ,"2,820","$200,664.00","$804,529.25",
WELLFLEET      ,"2,750","$49,439.00","$1,167,896.75",
WEST TISBURY   ,"2,740","$157,108.00","$186,092.50",
WILLIAMSBURG   ,"2,482","$256,078.00","$1,556,612.50",
HOLLAND        ,"2,481","$170,719.00","$683,935.75",
EAST BROOKFIELD,"2,183","$245,303.00","$2,674,478.25",
HUNTINGTON     ,"2,180","$291,504.00","$164,493.00",
BERNARDSTON    ,"2,129","$246,005.00","$624,631.25",
HINSDALE       ,"2,032","$188,327.00","$660,449.50",
TRURO          ,"2,003","$25,446.00",,
STOCKBRIDGE    ,"1,947","$84,313.00","$951,999.25",
BUCKLAND       ,"1,902","$258,986.00","$1,046,122.50",
CONWAY         ,"1,897","$151,164.00","$31,062.00",
SHELBURNE      ,"1,893","$221,196.00","$1,036,087.00",
LEVERETT       ,"1,851","$150,975.00",,
WALES          ,"1,838","$199,783.00","$290,321.25",
ERVING         ,"1,800","$56,849.00","$636,767.75",
BECKET         ,"1,779","$76,812.00","$281,098.00",
RUSSELL        ,"1,775","$208,900.00","$1,313,269.50",
SHUTESBURY     ,"1,771","$143,436.00",,
ASHFIELD       ,"1,737","$157,026.00","$347,094.75",
CLARKSBURG     ,"1,702","$307,692.00","$48,021.00",
OTIS           ,"1,612","$30,765.00","$635,973.25",
WESTHAMPTON    ,"1,607","$122,567.00",,
GRANVILLE      ,"1,566","$135,608.00","$116,719.75",
NEW MARLBOROUGH,"1,509","$49,535.00",,
GILL           ,"1,500","$205,734.00","$51,510.50",
WHATELY        ,"1,496","$113,512.00","$1,088,242.50",
RICHMOND       ,"1,475","$91,509.00",,
CHESTER        ,"1,337","$152,278.00",,
PELHAM         ,"1,321","$134,637.00",,
WEST STOCKBRIDGE,"1,306","$82,240.00","$578,160.50",
CHARLEMONT     ,"1,266","$147,847.00","$692,329.00",
ROYALSTON      ,"1,258","$152,063.00","$144,682.50",
PETERSHAM      ,"1,234","$96,968.00","$130,024.75",
BLANDFORD      ,"1,233","$107,398.00","$635,343.25",
EGREMONT       ,"1,225","$53,367.00","$105,138.75",
CHESTERFIELD   ,"1,222","$116,778.00",,
WORTHINGTON    ,"1,156","$106,245.00","$90,400.50",
GOSHEN         ,"1,054","$67,666.00","$308,826.75",
NEW BRAINTREE  ,999,"$111,657.00",,
NEW SALEM      ,990,"$87,758.00","$240,853.50",
MONTEREY       ,961,"$39,107.00",,
SANDISFIELD    ,915,"$29,310.00","$687,769.50",
WINDSOR        ,899,"$87,837.00","$579,387.25",
CUMMINGTON     ,872,"$70,560.00",,
CHILMARK       ,866,"$3,172.00",,
WENDELL        ,848,"$147,409.00",,
PERU           ,847,"$96,598.00",,
MONTGOMERY     ,838,"$73,404.00",,
WARWICK        ,780,"$107,572.00",,
FLORIDA        ,752,"$42,100.00",,
HANCOCK        ,717,"$47,754.00","$28,716.50",
LEYDEN         ,711,"$69,641.00",,
HEATH          ,706,"$70,768.00",,
SAVOY          ,692,"$98,003.00",,
PLAINFIELD     ,648,"$42,434.00","$34,685.75",
WASHINGTON     ,538,"$79,890.00",,
MIDDLEFIELD    ,521,"$44,965.00",,
ALFORD         ,494,"$11,869.00",,
TOLLAND        ,485,"$15,633.00",,
ROWE           ,393,"$3,332.00",,
HAWLEY         ,337,"$36,605.00",,
TYRINGHAM      ,327,"$10,739.00",,
AQUINNAH,311,"$1,976.00",,
NEW ASHFORD    ,228,"$17,180.00",,
MOUNT WASHINGTON,167,"$25,355.00",,
MONROE         ,121,"$15,552.00",,
GOSNOLD        ,75,"$1,774.00",,
